ENERDATA,SBS,EF,IEA,flow,Navigate
NA,OI,BGDO,NA,,Final Energy|Industry|Liquids|Biomass
NA,OI,H2F,NA,,
Electricity final consumption miscellaneous industry.Mtoe,OI,ELC,NA,,Final Energy|Industry|Electricity
NA,OI,PHEVGSL,NA,,
NA,OI,PHEVGDO,NA,,
NA,OI,CHEVGSL,NA,,
NA,OI,CHEVGDO,NA,,
NA,OI,SLD,NA,,Final Energy|Industry|Solids
NA,OI,GAS,NA,,Final Energy|Industry|Gases
NA,OI,LQD,NA,,
NA,OI,OLQT,NA,,
NA,OI,NFF,NA,,
NA,OI,NEF,NA,,
NA,OI,HEATPUMP,NA,,
NA,SE,REN,NA,,
Coal final consumption of tertiary sector.Mtoe,SE,HCL,BITCOAL,COMMPUB,Final Energy|Commercial|Solids|Fossil
NA,SE,LGN,LIGNITE,COMMPUB,
NA,SE,CRO,NA,,Final Energy|Commercial|Liquids|Fossil
NA,SE,LPG,LPG,COMMPUB,
NA,SE,GSL,NONBIOGASO,COMMPUB,Final Energy|Commercial|Liquids
NA,SE,KRS,NA,,
Oil final consumption of tertiary sector.Mtoe,SE,GDO,NONBIODIES,COMMPUB,
NA,SE,RFO,NA,,
NA,SE,OLQ,NA,,
Natural gas final consumption of tertiary sector.Mtoe,SE,NGS,NATGAS,COMMPUB,Final Energy|Commercial|Gases
NA,SE,OGS,NA,NA,
NA,SE,NUC,NA,,
NA,SE,STE,NA,,Final Energy|Commercial|Heat
NA,SE,HYD,NA,,Final Energy|Commercial|Hydrogen
NA,SE,WND,NA,,
NA,SE,SOL,SOLARTH,COMMPUB,
NA,SE,BMSWAS,NA,,Final Energy|Commercial|Solids|Biomass
NA,SE,GEO,GEOTHERM,COMMPUB,
NA,SE,MET,NA,,
NA,SE,ETH,BIOGASOL,COMMPUB,
NA,SE,BGDO,BIODIESEL,COMMPUB,
NA,SE,H2F,NA,,
NA,SE,ELC,ELECTR,COMMPUB,Final Energy|Commercial|Electricity
NA,SE,PHEVGSL,NA,,
NA,SE,PHEVGDO,NA,,
NA,SE,CHEVGSL,NA,,
NA,SE,CHEVGDO,NA,,
NA,SE,SLD,NA,,Final Energy|Commercial|Solids
NA,SE,GAS,NA,,
NA,SE,LQD,NA,,
NA,SE,OLQT,NA,,
NA,SE,NFF,NA,,
NA,SE,NEF,NA,,
NA,SE,HEATPUMP,NA,,
NA,AG,REN,NA,,
Coal and lignite final consumption of agriculture.Mtoe,AG,HCL,BITCOAL,AGRICULT,
NA,AG,LGN,LIGNITE,AGRICULT,
NA,AG,CRO,NA,,
NA,AG,LPG,LPG,AGRICULT,
NA,AG,GSL,NONBIOGASO,AGRICULT,Final Energy|Agriculture|Liquids
NA,AG,KRS,NA,,
"Diesel, heating oil final consumption of agriculture.Mtoe",AG,GDO,NONBIODIES,AGRICULT,
Oil final consumption of agriculture.Mtoe,AG,RFO,NA,NA,
NA,AG,OLQ,NA,,
Natural gas final consumption of agriculture.Mtoe,AG,NGS,NATGAS,AGRICULT,Final Energy|Agriculture|Gases
NA,AG,OGS,NA,,
NA,AG,NUC,NA,,
NA,AG,STE,NA,,Final Energy|Agriculture|Heat
NA,AG,HYD,NA,,
NA,AG,WND,NA,,
NA,AG,SOL,SOLARTH,AGRICULT,
Biomass final consumption of agriculture.Mtoe,AG,BMSWAS,NA,NA,
NA,AG,GEO,GEOTHERM,AGRICULT,
NA,AG,MET,NA,,
